latitude,longitude,rwi,error
6.5663889,1.6589355,-0.150,0.350
8.5484296,1.4172363,-0.125,0.274
7.0681852,0.7580566,-0.518,0.278
10.0878536,1.1975098,-0.303,0.278
7.4387304,1.1096191,-0.617,0.287
10.4337931,0.2526855,-0.515,0.285
8.6353339,1.0876465,-0.452,0.296
10.7577626,0.4504395,-0.433,0.279
7.4169421,1.0876465,-0.305,0.283
6.4354006,1.0437012,-0.657,0.294
7.9830776,1.1975098,-0.180,0.430
10.7577626,0.2526855,-0.511,0.298
7.6347758,0.6701660,-0.487,0.281
7.4605176,1.1315918,0.057,0.329
9.9363874,0.9997559,-0.217,0.299
6.8064439,1.6149902,-0.448,0.288
9.3948711,1.3293457,-0.257,0.282
7.0027636,0.9558105,-0.448,0.303
7.0899903,0.6262207,-0.351,0.278
9.8930985,0.6921387,-0.312,0.287
8.9610451,1.2194824,0.388,0.327
7.4169421,1.2414551,-0.643,0.296
6.8282612,0.9777832,-0.608,0.283
7.5258726,1.1535645,0.688,0.492
10.3257277,0.4284668,-0.578,0.284
6.6755194,1.2194824,-0.393,0.312
10.3041101,0.7141113,-0.157,0.292
8.1788678,1.3732910,-0.631,0.280
7.8524985,1.6149902,-0.561,0.272
10.3689583,0.6921387,-0.393,0.281
9.9580298,0.8679199,-0.386,0.280
8.8307950,1.5051270,-0.512,0.317
8.3528229,0.9338379,-0.754,0.285
7.0463790,1.0656738,-0.554,0.283
7.9613173,0.8898926,-0.653,0.279
7.0463790,1.6149902,-0.227,0.271
7.0681852,1.5051270,-0.484,0.272
8.5267005,1.5710449,-0.348,0.273
6.8937071,0.9338379,-0.553,0.303
8.3528229,1.5930176,-0.710,0.282
7.8524985,1.3732910,-0.537,0.277
8.2223637,0.8898926,-0.284,0.283
6.6755194,1.1096191,-0.425,0.280
9.0695511,1.5930176,-0.520,0.293
6.8937071,1.2414551,-0.235,0.292
6.8500775,0.9338379,-0.498,0.294
8.5918843,1.2194824,-0.441,0.298
10.6498109,0.2526855,0.056,0.293
10.7793483,-0.0329590,-0.362,0.275
9.1780244,1.2194824,-0.471,0.274
8.7873681,1.2194824,-0.397,0.278
8.4180361,1.3732910,0.049,0.278
9.0695511,1.6149902,-0.421,0.285
7.8960294,1.0656738,-0.397,0.276
6.8064439,0.5822754,-0.197,0.304
8.8742168,1.2194824,-0.382,0.282
6.6100440,1.0876465,-0.454,0.278
7.0681852,0.8239746,-0.925,0.290
10.7361753,-0.0109863,-0.589,0.282
6.3043786,1.7248535,-0.354,0.296
6.6536952,1.3293457,-0.245,0.277
6.5008990,0.9558105,-0.515,0.302
10.7361753,0.2307129,-0.402,0.301
6.3480564,1.5930176,-0.269,0.344
6.4354006,1.6369629,-0.112,0.276
9.9363874,0.7141113,-0.181,0.285
7.7218784,0.7580566,-0.495,0.277
6.6755194,1.3513184,-0.705,0.281
6.5445599,1.1535645,0.112,0.291
8.6353339,1.1096191,-0.656,0.315
9.5899171,0.8020020,-0.403,0.304
8.7222181,1.2194824,-0.301,0.279
10.6929962,0.3186035,-0.488,0.285
9.2214045,0.7580566,0.065,0.285
9.3081485,0.9997559,-0.488,0.277
7.1117945,0.8459473,-0.014,0.295
8.3310827,0.9997559,0.390,0.440
8.0483515,1.1096191,-0.149,0.283
9.4815719,0.8898926,0.093,0.338
9.8498038,0.6921387,-0.172,0.289
10.4337931,0.6921387,-0.651,0.283
7.0681852,1.1755371,-0.051,0.312
8.7873681,1.0656738,-0.330,0.324
7.8960294,1.3513184,-0.480,0.277
10.4337931,0.1867676,-0.530,0.307
10.4554016,0.7141113,-0.439,0.284
8.5049700,0.8679199,-0.423,0.285
7.5258726,0.7580566,-0.067,0.276
8.3093413,1.3073730,-0.492,0.284
6.2825384,1.0656738,-0.074,0.314
6.7846256,1.0437012,-0.548,0.294
9.2647792,0.6262207,-0.446,0.284
8.3310827,1.4831543,-0.410,0.270
8.0265947,0.9997559,-0.244,0.278
9.5899171,0.8239746,-0.365,0.286
9.2430925,0.6921387,-0.356,0.281
6.2606973,1.1535645,1.271,0.442
8.4615055,0.9997559,-0.729,0.316
10.9735497,0.3625488,-0.425,0.281
8.5918843,1.4611816,-0.631,0.277
7.2861900,0.8679199,-0.482,0.295
9.7415422,0.6481934,-0.670,0.303
9.6549077,0.8898926,0.036,0.286
9.6115820,0.6262207,0.174,0.285
10.3041101,0.6921387,-0.742,0.290
6.4572344,1.0656738,-0.242,0.280
9.4815719,0.2746582,-0.194,0.275
9.9147437,0.4943848,-0.655,0.282
8.5918843,0.9997559,-0.885,0.429
10.6066195,0.2307129,-0.433,0.304
7.5694372,0.9997559,0.091,0.302
9.9147437,0.5383301,-0.659,0.283
6.4790672,1.6809082,-0.281,0.274
7.2207995,1.1535645,-0.449,0.309
6.7409861,1.1535645,-0.381,0.298
6.4790672,0.9777832,-0.647,0.280
8.9827489,1.2414551,-0.566,0.331
7.3951528,1.5710449,-0.966,0.298
8.4397714,0.9777832,-0.519,0.326
7.7218784,0.8679199,-0.616,0.274
7.4387304,1.0656738,-0.543,0.297
7.7436512,1.3073730,-0.705,0.285
10.4121830,0.5822754,-0.312,0.281
6.3043786,1.7468262,-0.353,0.281
7.6565531,0.9997559,-0.396,0.278
9.5682508,1.2194824,0.658,0.475
9.5465832,0.3625488,0.290,0.292
7.2861900,1.2854004,-0.326,0.295
9.5032437,1.1315918,-0.170,0.287
6.7409861,0.6701660,-0.435,0.274
8.4615055,1.6369629,-0.368,0.290
7.3297783,1.2414551,-0.473,0.311
9.7198857,0.8459473,-0.203,0.287
9.8065034,0.7141113,-0.539,0.288
6.8282612,0.8020020,-0.329,0.279
8.4180361,1.2194824,-0.566,0.294
10.5850215,0.3845215,-0.323,0.311
10.5850215,0.6481934,-0.409,0.280
8.5484296,0.8898926,-0.429,0.284
7.9177932,0.8898926,-0.364,0.279
11.1245072,-0.0329590,0.399,0.308
8.1353671,0.9558105,-0.628,0.283
7.7218784,1.0876465,-0.362,0.279
10.5202184,0.1428223,-0.410,0.289
9.8498038,1.3073730,-0.497,0.301
6.9591440,1.0876465,-0.906,0.304
8.5484296,1.3513184,-0.648,0.277
8.3528229,1.4392090,-0.293,0.272
8.0265947,0.8459473,-0.557,0.287
10.6714043,-0.0109863,-0.280,0.300
7.5040887,0.8020020,0.142,0.275
6.9373327,0.7141113,-0.523,0.289
7.0245718,1.5710449,-0.553,0.303
8.0483515,1.0437012,-0.038,0.294
10.8440961,0.0769043,-0.387,0.293
8.2658549,0.7141113,-0.437,0.278
10.7577626,0.0988770,-0.689,0.287
7.5476555,0.8239746,-0.817,0.281
7.0027636,1.0876465,0.026,0.287
7.5694372,0.8239746,-0.727,0.300
7.1335976,1.5710449,-0.214,0.268
6.8718928,1.1975098,-0.515,0.308
7.5040887,0.7141113,-0.669,0.294
10.2176252,0.9997559,-0.500,0.281
6.4354006,1.0876465,-0.112,0.280
7.6347758,1.4831543,-0.493,0.278
6.4572344,1.5051270,0.411,0.310
6.8718928,0.8459473,-0.324,0.323
8.4397714,0.8898926,-0.968,0.295
10.2392486,0.9558105,-0.576,0.283
6.3480564,1.7028809,-0.291,0.384
7.4823037,1.1535645,0.328,0.436
9.9796707,0.7580566,0.017,0.279
7.4169421,1.5051270,-0.281,0.273
7.2207995,1.3293457,0.049,0.275
7.4605176,0.9118652,0.436,0.418
10.6066195,0.1428223,-0.343,0.280
9.8930985,0.6701660,-0.670,0.287
7.0027636,1.1755371,-0.598,0.333
10.8440961,0.2746582,-0.348,0.283
10.3041101,0.5603027,-0.656,0.280
8.9393399,1.0656738,-0.633,0.300
9.7848511,0.8898926,-0.208,0.294
6.8718928,0.9997559,-0.372,0.282
6.7409861,1.2194824,-0.523,0.295
10.7793483,0.5163574,-0.652,0.285
7.1335976,1.0437012,-0.520,0.276
9.6765684,0.4064941,-0.448,0.279
10.8440961,0.2966309,-0.150,0.290
8.6570568,1.1975098,-0.417,0.324
9.6115820,1.1535645,0.420,0.435
10.0013102,1.3293457,-0.270,0.279
9.8714518,0.5383301,-0.541,0.283
10.0013102,1.1535645,-0.607,0.280
7.6129974,1.5490723,-0.748,0.273
6.5227299,0.7141113,-0.335,0.330
9.8714518,0.9118652,-0.442,0.286
9.2864645,0.8679199,-0.377,0.284
10.8656756,0.8898926,-0.548,0.282
8.8525066,0.6481934,-0.587,0.286
8.5484296,1.3073730,-0.796,0.278
9.5465832,0.5822754,0.111,0.277
6.4790672,0.8239746,-0.293,0.273
6.2825384,1.3513184,-0.319,0.320
6.5882169,1.2414551,-0.581,0.311
9.7848511,0.6042480,-0.400,0.290
7.0027636,1.3732910,-0.205,0.286
7.4169421,1.0217285,-0.381,0.280
8.9393399,1.1315918,-0.307,0.362
9.7198857,1.0876465,-0.194,0.304
6.5445599,1.0656738,-0.620,0.280
10.9088300,0.3405762,0.043,0.298
9.7848511,1.0656738,-0.757,0.284
8.2006163,1.3732910,-0.446,0.278
8.5918843,1.1096191,-0.667,0.298
9.9796707,0.5383301,0.005,0.287
8.9393399,1.5930176,-0.474,0.279
8.6570568,1.5710449,-0.249,0.276
9.8714518,0.6042480,0.079,0.284
6.8282612,0.6701660,-0.432,0.286
7.5040887,0.9118652,-0.370,0.284
9.0261526,1.3952637,-0.534,0.348
8.5701576,0.9558105,-0.454,0.351
7.1772006,0.8898926,-0.063,0.289
6.4135660,1.6809082,-0.027,0.307
9.8281543,0.4724121,-0.378,0.287
7.3079846,0.8020020,-0.225,0.288
8.4397714,1.2414551,-0.380,0.289
7.7871935,0.7800293,-0.231,0.292
8.9827489,1.1755371,-0.161,0.422
6.8718928,1.3513184,-0.677,0.272
7.6783293,1.3073730,-0.582,0.278
10.9519780,0.0549316,-0.381,0.276
6.2825384,1.2414551,-0.057,0.364
7.0245718,1.1096191,-0.581,0.285
6.8282612,0.5383301,-0.173,0.297
6.5663889,0.8239746,-0.101,0.280
8.4180361,1.1755371,-0.731,0.301
9.4598988,1.3293457,-0.139,0.327
8.0048367,1.3952637,-0.410,0.276
8.0048367,1.2634277,-0.520,0.282
10.9519780,0.1208496,-0.302,0.305
9.7198857,0.9338379,-0.165,0.280
9.6982277,1.3293457,-0.081,0.295
7.1335976,0.6921387,0.092,0.394
6.7409861,1.0656738,-0.726,0.277
8.6787785,1.6369629,-0.448,0.285
7.5694372,1.0217285,-0.417,0.294
9.1346391,1.2194824,-0.068,0.301
7.5694372,1.5051270,-0.258,0.274
9.3948711,1.3732910,-0.690,0.282
7.2643942,0.9777832,-0.595,0.277
10.8440961,0.8239746,0.392,0.399
9.4382242,1.2854004,-0.419,0.292
9.6765684,0.4724121,-0.460,0.291
9.6765684,0.8898926,-0.555,0.283
8.6136097,1.1755371,-0.195,0.313
10.3257277,0.7141113,-0.615,0.308
9.3731925,1.0876465,-0.548,0.277
7.3515708,1.5710449,-0.254,0.299
7.6347758,0.9338379,-0.219,0.278
8.3093413,0.9558105,-0.166,0.284
8.9827489,0.4943848,-0.785,0.294
6.5445599,0.8898926,-0.478,0.299
7.2861900,0.7141113,0.115,0.339
10.0445848,0.8898926,-0.449,0.280
6.4572344,1.1315918,-0.568,0.308
9.6115820,0.8679199,-0.491,0.284
7.3951528,1.3952637,-0.365,0.277
10.0878536,0.4504395,-0.867,0.280
7.5476555,0.8679199,-0.313,0.289
7.6129974,1.2414551,-0.597,0.295
10.5634219,0.2087402,-0.245,0.292
7.3951528,0.9997559,-0.376,0.280
9.6982277,0.8459473,-0.372,0.284
9.6332456,0.7580566,-0.308,0.285
9.9580298,0.5822754,-0.115,0.302
7.9395558,1.3732910,-0.356,0.277
7.5258726,1.5051270,-0.835,0.272
11.1029466,0.0329590,0.260,0.454
8.2223637,1.5051270,-0.274,0.286
9.1129444,1.3513184,-0.220,0.285
7.0463790,1.1535645,-0.236,0.366
10.1527460,0.9777832,-0.291,0.276
7.3951528,0.5603027,-0.790,0.280
9.9580298,0.9777832,-0.537,0.284
10.8440961,0.6921387,-0.268,0.281
6.5008990,1.3952637,-0.127,0.275
9.7631974,0.8459473,-0.260,0.301
9.4598988,1.2854004,-0.593,0.298
7.0463790,0.7800293,-0.843,0.276
6.7191648,0.6701660,-0.401,0.273
7.3733623,0.9118652,-0.535,0.297
7.5258726,1.6589355,-0.597,0.277
8.8090822,1.1315918,-0.335,0.285
6.5227299,1.5270996,-0.109,0.308
7.6783293,1.3513184,-0.380,0.296
9.9363874,1.3513184,-0.439,0.283
8.2006163,0.6042480,-0.268,0.282
9.6549077,0.5822754,-0.531,0.284
8.2441099,1.5490723,-0.460,0.270
7.9395558,0.6481934,-0.515,0.274
7.5476555,0.9118652,-0.215,0.287
9.0695511,1.3293457,-0.414,0.294
10.9304048,0.3405762,-0.566,0.280
8.5918843,1.3952637,-0.147,0.277
6.5663889,1.0217285,-0.166,0.295
6.4790672,1.5051270,0.127,0.280
10.4986143,0.2966309,-0.237,0.289
9.1780244,1.4611816,-0.470,0.277
9.1563324,1.1755371,-0.027,0.341
6.8500775,1.2634277,-0.654,0.298
10.0229482,1.0437012,-0.338,0.286
9.3731925,1.1535645,-0.248,0.285
7.1990006,1.1535645,-0.598,0.312
10.6929962,0.1428223,-0.320,0.286
6.3480564,1.1535645,-0.404,0.345
9.5249141,1.2414551,-0.177,0.301
8.2006163,1.5930176,-0.423,0.274
7.1772006,0.8020020,-0.309,0.277
8.2223637,1.4392090,-0.573,0.274
9.9796707,0.9338379,-0.582,0.284
10.4337931,0.2307129,-0.581,0.287
6.9809543,1.2414551,-0.612,0.294
6.9155204,1.2634277,-0.678,0.275
6.4790672,0.7800293,-0.447,0.273
8.0265947,1.1535645,-0.580,0.316
9.4815719,0.5822754,-0.075,0.279
10.4337931,0.7580566,-0.245,0.295
7.6347758,1.0217285,-0.693,0.280
9.1780244,1.1975098,-0.128,0.341
6.6973426,1.1535645,-0.506,0.318
7.0463790,1.5710449,-0.410,0.277
6.8064439,1.5490723,-0.367,0.270
7.8089630,0.6701660,-0.330,0.289
8.1788678,1.0217285,-0.382,0.287
8.8525066,1.2854004,-0.398,0.283
10.0878536,0.7141113,-0.586,0.319
6.7846256,1.0656738,-0.268,0.278
9.6549077,0.9558105,-0.285,0.277
7.7001044,0.5822754,-0.139,0.277
9.9796707,0.7800293,-0.126,0.275
7.8960294,1.3073730,-0.133,0.294
10.3473437,0.6701660,-0.505,0.280
7.7436512,1.1535645,-0.677,0.286
9.7848511,0.4064941,-0.319,0.282
7.4387304,0.7360840,-0.388,0.280
9.2430925,1.3732910,-0.617,0.274
10.7145865,0.1647949,-0.561,0.287
9.8281543,0.8898926,-0.541,0.290
8.7222181,0.5163574,-0.688,0.281
6.6973426,1.5710449,-0.572,0.302
6.2825384,1.1755371,0.133,0.377
6.5882169,1.1096191,0.287,0.315
6.8064439,0.9777832,-0.415,0.287
10.2392486,0.4724121,-0.874,0.292
9.9796707,0.7360840,-0.338,0.282
10.3041101,0.8459473,-0.542,0.279
10.8225151,0.6481934,-0.302,0.276
9.1346391,1.3293457,-0.289,0.287
7.4823037,1.3293457,-0.166,0.348
9.7631974,1.0217285,-0.306,0.281
8.6353339,1.0656738,-0.624,0.289
7.8960294,0.7141113,-0.632,0.278
7.5258726,0.6042480,-0.255,0.320
6.6755194,1.0656738,-0.154,0.404
6.9155204,1.0217285,-0.480,0.282
9.2430925,0.7141113,-0.526,0.283
7.1335976,1.0656738,-0.131,0.277
7.7436512,1.4831543,-0.405,0.295
6.5445599,0.8679199,-0.444,0.274
7.4605176,1.4172363,-0.125,0.281
9.9580298,0.6262207,-0.217,0.284
6.8282612,0.8239746,-0.168,0.281
9.7198857,0.6262207,-0.464,0.292
11.0382553,0.0988770,-0.156,0.360
6.6536952,0.6481934,-0.293,0.302
7.5912178,0.5163574,0.083,0.355
7.6129974,1.2854004,-0.583,0.280
8.5267005,1.6149902,-0.071,0.274
10.4337931,0.6042480,-0.433,0.283
10.6066195,0.2746582,0.003,0.282
8.6787785,1.0876465,-0.702,0.288
6.8718928,0.6481934,0.346,0.341
9.3948711,0.6701660,-0.203,0.301
8.5049700,1.6149902,-0.189,0.271
7.3733623,0.8679199,-0.558,0.410
6.5882169,1.0217285,-0.494,0.278
9.7848511,0.6262207,-0.481,0.287
7.7654229,1.5930176,-0.742,0.273
7.2207995,0.8898926,0.107,0.274
9.3298312,1.1755371,-0.429,0.298
9.9147437,0.8679199,-0.368,0.281
10.6498109,0.5163574,-0.102,0.278
10.9519780,0.1428223,-0.160,0.322
10.8009324,0.8239746,0.316,0.278
7.0245718,1.5930176,-0.046,0.371
7.7218784,1.5710449,-0.529,0.290
7.8524985,1.2414551,-0.388,0.288
9.2864645,0.8020020,-0.416,0.303
10.7145865,0.0769043,-0.612,0.279
7.0245718,1.6149902,0.325,0.405
10.1311167,1.0876465,-0.360,0.290
7.0463790,1.5270996,-0.313,0.276
6.3043786,1.4172363,0.045,0.364
10.8872536,0.0109863,-0.393,0.296
10.5634219,0.2746582,-0.166,0.293
10.5850215,0.2966309,-0.480,0.282
8.8525066,1.0437012,-0.073,0.285
8.5484296,1.1755371,-0.294,0.296
9.2647792,1.3513184,-0.618,0.290
10.0878536,0.6921387,-0.441,0.292
9.7415422,0.7580566,-0.019,0.297
6.9155204,0.8459473,-0.407,0.298
9.9796707,1.3513184,-0.321,0.284
7.0899903,1.1096191,-0.368,0.283
7.3733623,1.1535645,-0.345,0.323
10.6929962,0.2966309,-0.633,0.288
10.9088300,0.4284668,-0.444,0.285
6.5663889,0.8459473,-0.166,0.278
9.6115820,1.2854004,-0.256,0.280
7.6565531,0.6262207,-0.482,0.279
8.2223637,0.7141113,-0.188,0.278
8.7439361,1.2194824,-0.699,0.279
7.3951528,1.0876465,-0.163,0.283
8.6136097,0.4724121,-0.587,0.310
10.9519780,0.6481934,-0.340,0.279
9.5682508,0.6921387,-0.420,0.287
9.0695511,1.5270996,-0.163,0.276
7.6347758,0.7141113,-0.228,0.304
6.8500775,0.8459473,-0.486,0.280
10.8009324,0.6262207,-0.177,0.276
7.8524985,0.8898926,-0.524,0.280
8.7439361,1.5490723,-0.660,0.470
6.8718928,1.1755371,-0.324,0.356
6.8718928,0.9338379,-0.204,0.279
8.1571180,1.5270996,-0.590,0.275
8.9393399,1.2854004,-0.456,0.286
8.0918616,0.9997559,-0.590,0.280
7.8524985,1.1975098,-0.276,0.332
10.8872536,0.2966309,-0.073,0.303
7.0245718,0.6921387,0.124,0.301
9.1346391,0.7360840,-0.143,0.280
6.7191648,1.2634277,-0.475,0.277
6.9373327,1.1755371,0.574,0.455
6.9809543,0.6042480,0.309,0.270
7.4169421,1.0437012,-0.324,0.289
7.7654229,1.4172363,-0.517,0.284
7.0899903,1.4831543,-0.628,0.272
8.9610451,1.3732910,-0.396,0.276
9.0912484,1.0656738,-0.623,0.293
6.6100440,0.8459473,-0.765,0.295
8.1136149,0.9777832,-0.870,0.300
9.3298312,0.6921387,-0.223,0.278
10.7361753,0.6921387,-0.516,0.276
7.8307313,1.1096191,-0.484,0.277
6.6100440,1.1315918,-0.625,0.319
8.8090822,1.1535645,-0.133,0.282
8.1788678,0.6481934,-0.334,0.308
7.9395558,0.8459473,-0.352,0.282
9.1346391,0.6262207,-0.278,0.351
9.9363874,1.2634277,-0.471,0.293
7.3733623,0.7360840,-0.656,0.274
7.5912178,1.5270996,-0.156,0.321
10.1527460,0.4284668,-0.328,0.280
9.7415422,0.4064941,0.130,0.279
8.8742168,1.3293457,-0.708,0.287
8.1788678,1.5710449,-0.413,0.299
10.9304048,0.0549316,-0.183,0.290
10.8656756,0.1208496,0.152,0.391
7.8089630,1.3073730,-0.401,0.281
9.6549077,1.1975098,-0.018,0.377
6.9591440,0.5822754,-0.168,0.338
6.2170122,1.1975098,1.124,0.466
7.1117945,0.7141113,-0.295,0.322
7.4605176,1.6369629,-0.761,0.275
8.9393399,1.0437012,-0.616,0.283
7.8307313,1.0876465,-0.143,0.277
8.3093413,0.8679199,-0.794,0.280
8.7222181,1.1096191,-0.555,0.299
6.6100440,1.4831543,-0.268,0.293
7.8307313,0.7141113,-0.385,0.277
7.1335976,1.1755371,-0.389,0.321
6.5882169,0.7141113,-0.076,0.295
7.8960294,1.1535645,-0.647,0.304
6.8718928,1.3732910,-0.636,0.346
6.2170122,1.2194824,1.421,0.456
6.3917304,1.5270996,0.293,0.310
7.5040887,1.5930176,-0.470,0.285
7.7871935,1.2414551,-0.062,0.298
7.3515708,0.7800293,-0.040,0.275
6.5227299,1.6149902,-0.368,0.294
10.8009324,0.2307129,-0.462,0.281
10.9088300,0.5383301,-0.225,0.283
9.6549077,0.8679199,0.388,0.278
10.6282159,0.6701660,-0.501,0.301
6.2170122,1.4392090,0.738,0.382
11.0598206,0.0549316,-0.525,0.314
7.5694372,1.0656738,-0.647,0.317
7.7218784,1.5930176,-0.605,0.276
7.4169421,1.1755371,-0.344,0.362
6.8064439,1.1315918,-0.494,0.313
7.4387304,1.1975098,-0.627,0.303
8.2223637,0.9558105,-0.215,0.295
10.6066195,0.3845215,0.317,0.356
7.9613173,1.1975098,-0.517,0.360
10.6282159,-0.0329590,-0.223,0.278
8.5701576,1.4392090,-0.711,0.275
8.5267005,0.9997559,-0.345,0.289
10.8009324,0.7360840,-0.447,0.277
10.6714043,0.2307129,-0.208,0.284
6.5882169,1.6809082,0.122,0.300
8.3528229,1.3293457,-0.352,0.283
6.1514779,1.2414551,1.277,0.403
6.3917304,1.0217285,-0.166,0.296
6.8500775,1.2414551,-0.524,0.286
6.2825384,1.0437012,-0.218,0.307
7.4169421,1.2634277,-0.290,0.282
9.0478525,0.4724121,-0.411,0.279
8.0701072,1.3513184,-0.317,0.293
8.4832384,1.4831543,-0.486,0.285
7.6783293,1.6149902,-0.647,0.280
7.2425974,1.5930176,-0.476,0.276
7.5258726,0.6701660,-0.719,0.279
9.1129444,1.5710449,-0.703,0.279
6.6973426,1.2854004,-0.450,0.290
7.1117945,1.3732910,-0.087,0.287
6.9155204,1.1096191,-0.749,0.332
9.5682508,0.6262207,-0.327,0.286
8.9827489,1.3073730,-0.376,0.295
7.3515708,0.8459473,0.097,0.302
7.4387304,1.5270996,-0.768,0.272
9.2214045,0.8239746,-0.090,0.322
7.1772006,0.9558105,-0.632,0.275
6.9591440,0.7141113,-0.560,0.274
6.4135660,0.7800293,-0.050,0.278
10.0445848,0.5603027,-0.015,0.287
6.4572344,0.8459473,-0.458,0.275
9.5032437,0.6262207,-0.473,0.280
8.8525066,1.1755371,-0.542,0.296
10.0013102,0.3625488,-0.385,0.287
6.9155204,0.6262207,1.289,0.419
9.4382242,0.7800293,-0.450,0.285
7.6129974,1.3293457,-0.278,0.279
8.4832384,1.2414551,-0.607,0.298
10.6498109,0.2746582,-0.426,0.287
9.5032437,0.5383301,-0.185,0.283
7.1117945,1.2414551,-0.376,0.278
6.2388552,1.5270996,-0.184,0.371
9.9147437,0.9558105,-0.530,0.281
8.0048367,1.5930176,-0.224,0.272
7.0245718,0.8898926,-0.317,0.272
7.0899903,1.3732910,-0.176,0.273
7.5040887,1.5710449,-0.709,0.271
6.4354006,0.7580566,-0.363,0.301
9.5249141,1.3513184,-0.342,0.278
6.4790672,1.4172363,-0.378,0.293
8.2658549,1.0217285,-0.345,0.300
7.1990006,0.6262207,-0.412,0.274
8.7656527,1.5051270,-0.624,0.275
