prefecture,gender,age,own_phone
DOUFELGOU,M,92,True
KPELE,F,69,True
BAS-MONO,F,47,True
DOUFELGOU,F,57,True
GOLFE,F,43,False
MOYEN-MONO,M,91,True
BLITTA,M,63,True
AKEBOU,F,72,False
BASSAR,F,18,True
AVE,F,50,True
AMOU,F,35,True
OTI-SUD,M,98,True
KPENDJAL,M,44,True
DOUFELGOU,F,40,False
SOTOUBOUA,M,18,True
DOUFELGOU,F,72,True
EST-MONO,F,85,False
LOME COMMUNE,F,62,False
HAHO,M,79,True
TANDJOARE,M,84,True
ANIE,M,95,True
AKEBOU,M,69,True
EST-MONO,M,76,True
AGOE-NYIVE,M,26,True
TCHAMBA,M,25,True
DANKPEN,M,57,False
ZIO,M,66,True
TCHAMBA,F,19,True
WAWA,F,34,False
AKEBOU,F,34,True
KPELE,F,48,True
KOZAH,M,90,True
VO,F,69,True
TANDJOARE,F,89,True
KLOTO,F,65,True
TONE,M,90,False
TANDJOARE,M,43,True
TCHAOUDJO,M,95,True
CINKASSE,F,97,False
BINAH,F,58,True
ZIO,M,20,True
VO,M,57,False
BINAH,F,59,True
KPELE,F,88,False
DOUFELGOU,M,39,True
GOLFE,M,39,False
AGOE-NYIVE,F,22,True
KOZAH,F,23,True
MOYEN-MONO,M,26,True
KPELE,M,56,True
GOLFE,F,65,False
TCHAOUDJO,F,73,True
SOTOUBOUA,F,50,False
EST-MONO,M,35,True
KOZAH,F,29,False
OTI,F,43,True
LACS,F,20,True
BASSAR,M,80,True
ZIO,M,82,True
YOTO,F,23,True
AMOU,F,28,True
AMOU,F,73,False
VO,M,60,False
KOZAH,M,43,True
ANIE,F,97,False
MOYEN-MONO,F,70,True
KOZAH,M,25,True
OTI-SUD,M,63,True
TCHAOUDJO,F,33,True
KPENDJAL-OUEST,F,85,True
PLAINE DU MO,F,76,False
AVE,F,99,True
GOLFE,M,68,True
LOME COMMUNE,M,54,False
VO,F,43,True
CINKASSE,F,85,True
AKEBOU,F,41,True
MOYEN-MONO,M,71,False
YOTO,F,45,True
TCHAOUDJO,M,62,True
KERAN,F,82,True
ASSOLI,F,63,True
AGOE-NYIVE,M,61,False
EST-MONO,M,65,True
KERAN,M,18,True
PLAINE DU MO,M,99,False
ZIO,M,55,True
KERAN,F,58,True
TANDJOARE,M,19,True
LACS,M,64,True
KPENDJAL-OUEST,M,60,True
CINKASSE,M,37,False
DOUFELGOU,F,91,True
BAS-MONO,M,47,True
OGOU,M,64,True
KPENDJAL-OUEST,M,92,True
AGOE-NYIVE,F,25,True
LACS,F,85,True
HAHO,F,30,False
KOZAH,F,47,False
BLITTA,F,18,False
TANDJOARE,F,59,False
CINKASSE,M,94,True
ASSOLI,F,57,False
LOME COMMUNE,F,86,False
EST-MONO,M,29,False
KPENDJAL,F,60,False
ANIE,F,54,True
MOYEN-MONO,F,91,False
HAHO,M,28,True
GOLFE,M,20,True
BASSAR,F,44,False
EST-MONO,F,87,False
DOUFELGOU,F,87,False
GOLFE,M,19,True
OGOU,F,89,False
KPELE,F,54,False
KPENDJAL,M,85,True
TCHAMBA,M,89,True
OTI-SUD,F,85,False
LACS,F,93,True
SOTOUBOUA,M,39,True
DANYI,M,63,True
DANYI,F,57,False
OTI,M,79,True
DANYI,F,19,True
BASSAR,M,44,True
LOME COMMUNE,M,64,False
PLAINE DU MO,F,33,False
DANYI,F,38,False
KPENDJAL-OUEST,M,44,True
SOTOUBOUA,M,96,True
AVE,M,39,False
YOTO,F,58,False
WAWA,F,51,False
OTI,F,98,True
AVE,M,27,True
BLITTA,F,97,True
OGOU,M,32,True
SOTOUBOUA,M,82,True
AGOU,M,32,False
KLOTO,F,55,False
TCHAOUDJO,F,23,False
VO,M,94,False
OTI,M,94,True
KPELE,F,32,True
TCHAOUDJO,F,64,False
PLAINE DU MO,F,57,False
AGOE-NYIVE,F,71,True
LACS,F,82,False
YOTO,M,62,True
ANIE,M,68,True
BAS-MONO,M,24,True
DANYI,F,82,True
PLAINE DU MO,F,71,False
KPENDJAL-OUEST,F,66,False
KOZAH,M,38,True
BAS-MONO,F,60,False
DOUFELGOU,M,28,True
AMOU,F,27,True
LOME COMMUNE,M,53,False
LACS,F,55,False
AKEBOU,M,78,True
TANDJOARE,F,50,False
TONE,F,44,True
BLITTA,M,20,True
MOYEN-MONO,F,22,False
TCHAMBA,F,76,True
DANYI,M,96,True
KLOTO,F,27,False
DANKPEN,M,56,True
AMOU,F,32,False
HAHO,F,19,True
TCHAOUDJO,F,60,True
KPELE,F,20,True
ZIO,M,49,True
KERAN,M,62,True
AKEBOU,M,87,True
KPENDJAL,M,50,True
TCHAMBA,M,64,False
AMOU,F,32,False
HAHO,F,24,False
SOTOUBOUA,F,49,True
BINAH,M,91,True
TANDJOARE,F,47,False
AKEBOU,M,47,True
ZIO,F,32,True
DOUFELGOU,M,62,True
AMOU,M,80,False
AMOU,F,24,False
KLOTO,F,59,False
WAWA,F,34,False
KPENDJAL-OUEST,M,98,False
OGOU,F,21,False
PLAINE DU MO,M,83,True
OTI-SUD,F,28,False
AKEBOU,M,57,False
YOTO,F,47,True
TANDJOARE,F,94,True
EST-MONO,F,40,False
DANKPEN,M,28,True
OTI,M,33,True
KPENDJAL,F,52,False
HAHO,F,85,True
TANDJOARE,M,48,True
OTI-SUD,M,97,True
DANKPEN,F,46,False
LACS,F,85,True
BAS-MONO,F,25,False
VO,F,70,True
EST-MONO,M,37,True
AMOU,M,47,True
LOME COMMUNE,M,44,True
DANKPEN,F,66,False
ZIO,M,65,True
VO,F,25,False
SOTOUBOUA,M,94,True
KPENDJAL-OUEST,F,40,True
AGOE-NYIVE,F,84,False
LACS,F,54,True
WAWA,F,47,False
BAS-MONO,M,98,True
AMOU,F,33,True
KLOTO,M,82,True
SOTOUBOUA,M,24,True
TANDJOARE,M,24,False
OTI-SUD,M,51,False
KPENDJAL-OUEST,M,54,False
TCHAOUDJO,F,39,True
BASSAR,F,52,False
KPENDJAL,F,39,False
HAHO,M,56,False
PLAINE DU MO,M,40,True
TCHAMBA,F,52,True
DANKPEN,M,19,False
EST-MONO,F,62,True
TCHAOUDJO,F,97,True
BINAH,M,95,True
TCHAOUDJO,F,45,True
LOME COMMUNE,F,69,False
AKEBOU,F,86,False
TANDJOARE,F,50,True
AGOE-NYIVE,M,49,True
PLAINE DU MO,M,21,True
DANYI,F,49,True
KERAN,F,96,True
WAWA,F,83,True
CINKASSE,M,20,True
TANDJOARE,M,95,True
DANKPEN,M,31,True
AVE,F,50,False
KERAN,M,51,True
AVE,M,31,True
LACS,F,84,False
EST-MONO,F,52,False
LOME COMMUNE,M,41,True
KERAN,F,78,False
CINKASSE,F,71,True
BINAH,F,99,False
KOZAH,M,91,True
DANYI,M,18,True
OGOU,F,83,True
DOUFELGOU,F,44,True
HAHO,M,43,False
ASSOLI,F,46,False
MOYEN-MONO,M,65,True
SOTOUBOUA,F,46,True
ASSOLI,M,18,True
ANIE,F,53,True
DANYI,F,74,True
AKEBOU,F,45,False
DANYI,M,57,False
VO,M,69,False
VO,F,28,True
GOLFE,F,86,False
AMOU,M,45,True
CINKASSE,M,35,False
DANYI,F,25,False
KLOTO,M,24,False
TCHAOUDJO,M,36,True
AVE,M,57,True
HAHO,F,73,False
TONE,M,54,True
VO,M,21,True
TONE,F,18,True
ZIO,F,93,False
MOYEN-MONO,M,49,True
GOLFE,M,76,True
KPENDJAL,F,83,False
KOZAH,M,23,True
DOUFELGOU,F,51,False
WAWA,M,72,False
ASSOLI,M,98,True
PLAINE DU MO,M,80,False
ANIE,M,61,True
YOTO,M,76,True
YOTO,M,70,True
EST-MONO,F,73,True
KLOTO,M,66,True
KPENDJAL-OUEST,M,93,True
KPENDJAL-OUEST,M,42,True
KERAN,F,52,True
AVE,M,99,True
KPENDJAL-OUEST,F,90,False
SOTOUBOUA,F,66,False
BINAH,F,54,True
AVE,M,25,False
AVE,M,19,True
BASSAR,M,38,True
EST-MONO,M,76,True
OTI-SUD,M,52,True
EST-MONO,F,73,False
WAWA,M,81,False
SOTOUBOUA,M,54,False
DOUFELGOU,F,49,False
TCHAOUDJO,F,69,True
BLITTA,M,64,True
ANIE,M,52,True
ANIE,F,91,True
ANIE,M,44,True
WAWA,F,47,False
ZIO,M,61,True
HAHO,M,89,True
TANDJOARE,F,44,True
OTI-SUD,M,25,True
AGOE-NYIVE,F,63,False
OTI-SUD,M,87,False
TCHAMBA,M,64,False
KLOTO,F,30,False
EST-MONO,M,19,True
PLAINE DU MO,M,35,False
BAS-MONO,F,49,True
TANDJOARE,M,94,True
CINKASSE,M,45,True
VO,M,39,True
TCHAMBA,F,94,True
KLOTO,F,39,True
AMOU,F,59,True
TCHAMBA,F,56,True
PLAINE DU MO,M,30,True
TANDJOARE,M,97,True
TCHAMBA,M,89,True
PLAINE DU MO,F,42,True
OTI,F,82,True
SOTOUBOUA,M,44,True
DANYI,F,76,True
KERAN,F,46,True
BASSAR,F,34,False
SOTOUBOUA,M,40,True
BASSAR,M,88,True
KOZAH,F,81,True
VO,M,89,True
DANYI,F,65,False
KPENDJAL-OUEST,M,44,True
VO,F,61,True
TCHAOUDJO,M,45,True
LACS,F,35,True
AVE,F,79,False
SOTOUBOUA,F,36,False
TONE,F,64,False
LACS,M,37,True
DANYI,M,63,True
LACS,F,95,True
KPENDJAL-OUEST,M,71,False
KLOTO,F,82,True
TCHAMBA,M,53,True
TCHAMBA,F,92,True
KLOTO,F,59,False
TONE,M,32,True
YOTO,F,88,False
KOZAH,F,48,True
TCHAMBA,M,98,False
LACS,F,34,True
GOLFE,F,66,True
BASSAR,F,48,True
TANDJOARE,M,33,True
KOZAH,F,81,True
SOTOUBOUA,F,20,False
KOZAH,M,38,True
GOLFE,M,89,False
BAS-MONO,F,64,True
MOYEN-MONO,F,28,False
LACS,M,81,True
DANKPEN,M,88,True
OTI-SUD,F,38,False
AGOU,F,42,False
TCHAMBA,F,66,True
GOLFE,M,66,True
YOTO,F,21,True
LACS,M,76,True
LACS,F,38,False
PLAINE DU MO,M,35,False
KLOTO,M,66,True
HAHO,M,37,False
KERAN,M,74,True
MOYEN-MONO,M,54,True
KPENDJAL-OUEST,M,77,True
AGOE-NYIVE,F,60,False
WAWA,M,38,False
KLOTO,F,87,True
BASSAR,F,44,False
EST-MONO,M,71,True
AMOU,F,44,True
OTI,M,80,True
VO,M,78,True
AGOU,M,91,True
MOYEN-MONO,F,67,False
LACS,F,97,False
YOTO,F,98,True
TCHAOUDJO,F,30,True
KPENDJAL,M,87,True
ASSOLI,F,72,False
ANIE,F,45,False
KLOTO,M,69,False
WAWA,M,74,True
DANKPEN,M,38,True
DANKPEN,F,28,True
DANYI,F,64,True
ASSOLI,F,53,True
AGOE-NYIVE,F,51,True
OGOU,M,24,True
BASSAR,M,87,True
BASSAR,F,65,False
WAWA,F,28,False
BASSAR,M,20,False
YOTO,F,96,False
ASSOLI,F,68,False
AVE,M,36,True
PLAINE DU MO,M,18,False
DANYI,M,46,True
VO,M,46,True
KPENDJAL,M,62,True
TANDJOARE,F,60,False
BASSAR,F,47,True
TANDJOARE,F,65,True
OGOU,M,71,True
WAWA,F,95,False
AGOU,M,65,True
DOUFELGOU,M,23,True
KPENDJAL-OUEST,F,23,False
KPENDJAL,F,38,False
SOTOUBOUA,F,94,True
KPENDJAL-OUEST,F,28,True
KPELE,M,70,True
WAWA,M,76,False
AGOU,M,88,True
TONE,M,49,True
KPENDJAL-OUEST,M,72,True
TANDJOARE,F,33,False
DANKPEN,M,68,False
ZIO,F,91,True
TONE,F,63,True
AKEBOU,M,78,True
ANIE,M,70,True
VO,M,64,False
CINKASSE,F,20,True
VO,F,57,True
WAWA,M,61,True
AVE,F,46,True
AGOE-NYIVE,F,51,True
OTI-SUD,M,59,True
BINAH,M,24,True
MOYEN-MONO,M,87,True
HAHO,F,93,True
VO,M,56,True
VO,M,20,True
MOYEN-MONO,M,56,True
KPENDJAL,M,87,True
SOTOUBOUA,M,68,True
ZIO,M,57,True
ASSOLI,M,45,True
VO,M,94,False
MOYEN-MONO,F,83,False
KPENDJAL-OUEST,F,26,True
OGOU,M,61,True
VO,M,85,True
WAWA,M,33,True
BAS-MONO,M,95,True
AGOU,M,37,True
TONE,F,88,False
BASSAR,F,97,False
DOUFELGOU,F,52,True
ANIE,F,38,True
TANDJOARE,F,32,True
GOLFE,M,69,True
TCHAMBA,M,25,True
AKEBOU,M,24,False
KOZAH,F,64,False
VO,M,70,True
KLOTO,M,81,False
YOTO,M,76,False
TCHAOUDJO,F,63,False
VO,M,33,True
KOZAH,F,86,True
KPELE,M,21,False
ASSOLI,F,36,True
BLITTA,M,42,True
AGOE-NYIVE,M,71,True
OTI,F,19,False
KPENDJAL,F,93,True
CINKASSE,F,33,True
KPENDJAL,F,88,False
WAWA,F,94,False
KPENDJAL-OUEST,M,73,True
OTI-SUD,F,58,False
PLAINE DU MO,F,40,False
WAWA,F,68,True
TONE,M,24,True
BASSAR,F,75,False
AVE,F,80,True
BAS-MONO,M,36,True
LOME COMMUNE,F,80,False
LACS,M,59,True
PLAINE DU MO,F,71,True
TONE,F,26,True
OTI-SUD,M,48,False
KPENDJAL-OUEST,F,89,False
LOME COMMUNE,M,91,True
TANDJOARE,M,67,True
AMOU,M,63,True
AKEBOU,M,90,True
CINKASSE,M,38,False
KPELE,M,89,False
AGOE-NYIVE,M,37,False
HAHO,F,24,True
TCHAOUDJO,F,21,False
ANIE,M,63,True
EST-MONO,F,40,True
AVE,M,95,True
CINKASSE,M,83,True
SOTOUBOUA,M,32,True
WAWA,F,36,False
BINAH,F,47,False
ASSOLI,M,76,False
PLAINE DU MO,F,63,True
VO,F,61,False
WAWA,M,76,True
BASSAR,M,63,True
WAWA,M,66,True
EST-MONO,M,31,False
DOUFELGOU,F,82,False
KPENDJAL,M,75,False
AMOU,F,20,True
DANYI,F,41,True
OTI,F,35,False
KLOTO,M,94,True
OTI-SUD,M,20,True
ZIO,M,62,True
DANYI,F,48,False
ZIO,M,89,True
OGOU,F,20,False
OTI-SUD,M,45,True
AGOU,M,46,True
AGOE-NYIVE,M,82,True
GOLFE,M,90,True
TANDJOARE,F,73,True
BAS-MONO,F,86,True
VO,M,38,False
OTI,M,66,False
KPELE,M,94,True
KPENDJAL-OUEST,M,65,True
AGOU,F,33,False
HAHO,M,60,True
OGOU,M,93,True
KOZAH,F,92,True
TCHAOUDJO,M,48,True
AGOE-NYIVE,F,71,True
KPENDJAL,M,75,True
WAWA,F,69,False
AGOU,F,56,False
OGOU,F,35,True
KPENDJAL-OUEST,F,91,True
DANYI,F,19,False
KLOTO,F,44,False
DOUFELGOU,F,28,True
DOUFELGOU,M,95,False
MOYEN-MONO,M,45,True
OTI,F,59,False
KOZAH,F,21,False
PLAINE DU MO,M,84,True
YOTO,F,26,False
GOLFE,M,34,True
OTI-SUD,M,35,True
KPENDJAL-OUEST,F,76,True
VO,F,96,True
AMOU,M,29,True
YOTO,M,48,True
AGOU,M,42,True
VO,F,85,True
TCHAOUDJO,M,67,True
OTI-SUD,F,82,True
BASSAR,M,36,False
VO,M,56,True
AVE,M,41,True
AGOU,M,45,True
WAWA,F,74,False
TCHAOUDJO,M,36,True
KLOTO,F,62,False
KERAN,M,32,True
KLOTO,F,61,True
TONE,M,27,True
BASSAR,M,23,True
KPENDJAL,M,43,True
KLOTO,F,99,True
SOTOUBOUA,F,99,True
BLITTA,M,36,True
ASSOLI,M,58,True
DOUFELGOU,F,71,False
LOME COMMUNE,F,89,False
TONE,M,76,True
OTI-SUD,F,23,True
AGOE-NYIVE,M,92,True
KLOTO,F,54,True
TONE,M,22,False
AGOU,F,35,False
KPELE,M,96,False
EST-MONO,M,25,False
ASSOLI,F,98,True
OGOU,M,78,True
KOZAH,M,38,True
SOTOUBOUA,F,68,True
TANDJOARE,F,83,False
BINAH,F,56,False
DANYI,F,23,True
DANKPEN,F,94,False
BINAH,F,35,False
CINKASSE,M,92,True
LOME COMMUNE,F,99,True
MOYEN-MONO,F,73,True
OGOU,M,47,False
KLOTO,F,23,False
KLOTO,M,90,True
AVE,F,33,False
KPENDJAL,F,79,True
BLITTA,F,64,False
DOUFELGOU,F,74,False
KLOTO,F,79,True
LOME COMMUNE,M,35,True
TONE,M,69,True
WAWA,F,65,True
EST-MONO,F,67,False
BINAH,F,70,False
AGOU,M,68,True
LACS,M,36,True
AKEBOU,F,77,True
LACS,M,68,True
AGOU,F,55,True
BINAH,F,74,False
BASSAR,M,69,True
LOME COMMUNE,M,57,True
DOUFELGOU,M,78,True
AGOE-NYIVE,M,59,True
PLAINE DU MO,F,56,True
ANIE,M,35,True
CINKASSE,F,40,True
YOTO,M,63,True
WAWA,F,74,False
DANKPEN,F,30,False
AKEBOU,F,98,False
CINKASSE,F,27,False
SOTOUBOUA,F,76,True
AVE,M,47,True
OTI,M,71,True
ANIE,F,18,True
TONE,F,89,True
DANKPEN,M,69,True
ANIE,M,50,True
AGOU,M,91,False
DOUFELGOU,M,81,True
KERAN,M,66,True
BINAH,F,94,False
KPENDJAL-OUEST,F,34,True
ASSOLI,M,42,True
BAS-MONO,M,94,True
DANYI,F,60,True
BLITTA,F,88,False
AVE,F,77,True
GOLFE,M,84,True
KPELE,F,57,False
TONE,M,22,True
OTI,M,66,True
BASSAR,F,45,False
AKEBOU,F,31,True
VO,F,38,True
DANKPEN,F,99,True
KLOTO,F,60,True
AGOE-NYIVE,M,33,True
OTI-SUD,F,99,True
BLITTA,M,38,True
OTI,F,73,True
KPELE,M,19,False
GOLFE,F,94,True
AGOU,F,28,True
AVE,M,74,False
AKEBOU,F,71,False
OGOU,M,38,True
TANDJOARE,M,69,False
KOZAH,M,23,True
KERAN,M,55,True
AVE,M,29,False
GOLFE,F,22,False
CINKASSE,F,22,False
TCHAMBA,M,88,True
KERAN,M,62,True
KERAN,M,92,True
BASSAR,F,30,False
KERAN,F,53,False
LACS,F,89,False
AGOE-NYIVE,M,40,True
BASSAR,F,74,False
TCHAMBA,M,36,False
TANDJOARE,F,61,False
ZIO,M,59,True
YOTO,F,24,False
AVE,M,52,True
TANDJOARE,F,23,False
YOTO,F,72,True
YOTO,M,93,True
KOZAH,M,87,True
DOUFELGOU,F,22,False
OTI-SUD,F,51,False
OGOU,M,73,False
ASSOLI,M,70,True
DANKPEN,M,69,True
TCHAMBA,M,52,True
DANYI,M,43,True
OGOU,F,63,True
VO,F,28,True
LOME COMMUNE,M,94,False
OGOU,F,78,True
MOYEN-MONO,F,31,False
TONE,M,64,True
TANDJOARE,M,90,False
AGOE-NYIVE,M,86,False
LACS,M,94,False
MOYEN-MONO,F,35,True
LACS,F,22,True
CINKASSE,M,33,True
TONE,M,46,True
BLITTA,M,87,True
PLAINE DU MO,M,35,False
BAS-MONO,F,56,True
TCHAOUDJO,F,26,True
ANIE,F,35,True
KLOTO,F,43,False
DANYI,M,86,False
BLITTA,M,96,True
CINKASSE,M,53,True
SOTOUBOUA,M,61,True
AGOU,F,59,False
KPENDJAL,F,19,True
BAS-MONO,F,58,True
BLITTA,F,99,True
AMOU,M,25,False
LOME COMMUNE,F,49,True
BINAH,M,75,True
LOME COMMUNE,M,45,True
KLOTO,M,55,False
KPENDJAL,M,25,True
ANIE,F,26,True
EST-MONO,M,35,True
KPELE,F,29,False
KPENDJAL,F,42,True
BLITTA,M,30,False
AKEBOU,F,35,True
KPELE,F,61,False
HAHO,F,85,False
DOUFELGOU,F,63,True
ZIO,M,87,True
DANKPEN,F,58,False
TANDJOARE,M,58,True
KPENDJAL,F,50,True
YOTO,F,85,False
TANDJOARE,F,78,True
KLOTO,F,61,False
BINAH,M,99,True
TCHAOUDJO,M,95,True
AGOE-NYIVE,M,84,True
DOUFELGOU,M,96,True
KLOTO,M,68,False
KPENDJAL-OUEST,F,98,True
DANKPEN,M,93,True
KOZAH,M,91,False
DANYI,M,35,True
ASSOLI,M,89,True
OGOU,F,37,False
ZIO,F,69,True
AVE,M,95,True
TONE,F,34,True
TCHAMBA,F,28,True
AKEBOU,M,63,True
VO,M,76,True
BASSAR,M,58,True
TCHAMBA,M,36,True
BINAH,F,88,True
SOTOUBOUA,M,62,True
WAWA,M,61,True
TCHAMBA,F,53,False
ASSOLI,M,65,False
KPENDJAL-OUEST,M,92,True
WAWA,M,56,True
BLITTA,M,85,True
ANIE,M,39,True
EST-MONO,M,67,True
KPELE,M,29,True
ZIO,M,30,True
TANDJOARE,M,78,False
TANDJOARE,M,46,True
ASSOLI,F,67,False
GOLFE,M,31,True
DANKPEN,F,56,False
TONE,M,51,True
AMOU,M,80,True
DANYI,M,78,True
KPENDJAL-OUEST,M,90,False
KOZAH,M,70,True
HAHO,F,34,True
AMOU,M,81,True
CINKASSE,F,93,False
BAS-MONO,F,66,False
OTI,F,40,True
AMOU,F,46,True
TCHAOUDJO,M,64,True
ZIO,F,28,False
AGOE-NYIVE,M,36,True
KPENDJAL-OUEST,F,97,True
KLOTO,F,29,True
TONE,F,73,False
TONE,F,30,False
LACS,F,56,False
AGOE-NYIVE,M,65,False
BAS-MONO,M,52,True
VO,F,47,True
SOTOUBOUA,F,25,False
AGOE-NYIVE,F,35,False
OTI,F,76,False
KPELE,M,28,False
OTI,M,18,True
AGOU,M,40,True
OTI-SUD,F,75,True
DOUFELGOU,F,96,False
KLOTO,F,54,True
KLOTO,M,19,True
KPENDJAL-OUEST,F,31,False
KPENDJAL-OUEST,M,32,False
LOME COMMUNE,F,43,True
ASSOLI,F,32,False
AVE,F,65,False
LOME COMMUNE,F,75,False
AKEBOU,M,32,True
KOZAH,M,93,True
AMOU,M,93,True
KERAN,M,73,True
KPENDJAL,M,65,True
DOUFELGOU,M,80,False
OTI,F,69,False
VO,M,24,True
BINAH,F,24,False
BINAH,M,47,True
KPELE,M,81,True
ASSOLI,M,53,True
KLOTO,F,58,True
KPENDJAL,F,20,True
PLAINE DU MO,F,27,True
TCHAMBA,F,67,True
CINKASSE,M,73,True
OGOU,M,78,True
LOME COMMUNE,F,37,True
TCHAOUDJO,M,51,True
OTI,M,27,False
DOUFELGOU,M,50,True
DANKPEN,M,58,False
CINKASSE,M,59,True
MOYEN-MONO,M,90,True
MOYEN-MONO,F,43,False
ASSOLI,F,20,False
SOTOUBOUA,M,94,True
DOUFELGOU,F,47,True
BAS-MONO,M,32,True
AKEBOU,M,96,True
ANIE,F,27,True
TCHAMBA,M,23,True
ASSOLI,M,45,True
TANDJOARE,F,19,True
ZIO,F,40,True
OTI-SUD,F,98,False
KLOTO,M,52,True
KPENDJAL-OUEST,F,40,True
DOUFELGOU,M,30,False
EST-MONO,M,80,True
BAS-MONO,M,74,True
SOTOUBOUA,M,18,True
HAHO,M,90,True
KPELE,M,29,True
LOME COMMUNE,M,53,True
ZIO,F,80,True
BASSAR,F,41,False
BAS-MONO,F,21,True
KPENDJAL,F,79,False
AGOE-NYIVE,M,33,True
OTI,F,19,False
BLITTA,M,69,True
TANDJOARE,M,38,True
ANIE,M,69,False
KPENDJAL,M,27,True
WAWA,F,18,False
BASSAR,M,50,False
BINAH,F,99,False
PLAINE DU MO,F,72,True
WAWA,F,38,False
PLAINE DU MO,F,31,False
ZIO,F,49,True
BASSAR,F,25,False
SOTOUBOUA,F,66,False
BASSAR,M,38,False
AMOU,M,88,True
TCHAOUDJO,M,48,True
BLITTA,F,69,False
MOYEN-MONO,M,46,True
KPENDJAL,M,53,True
AGOE-NYIVE,M,86,True
KOZAH,F,71,False
KOZAH,F,93,True
KPENDJAL,M,21,True
SOTOUBOUA,M,79,True
WAWA,F,68,True
KPENDJAL,F,85,False
TCHAOUDJO,F,89,True
KLOTO,F,78,True
ANIE,M,77,True
ZIO,F,33,True
TONE,M,71,True
TCHAMBA,M,47,False
PLAINE DU MO,F,34,False
LACS,F,21,True
CINKASSE,M,41,True
BINAH,F,81,False
